,index,ACCESSION_STRING,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502
5173,9787,SO_1890,11.08613628,11.75886085,11.81846987,11.47910136,12.00861467,12.4370612,12.3637327,12.63629185
5174,2705,SO_1891,8.434498287,8.32558694,8.34401883,8.528088117,8.326851168,8.409258702,8.489095668,8.63696473
5175,2382,SO_1891,9.229945567,9.351146486,9.492166323,9.191907644,7.907078962,8.22596095,8.066594249,8.476873106
5176,1700,SO_1891,6.478265453,6.17679823,6.509281559,6.643406545,6.103945272,6.331478395,6.249707722,6.333715997
5177,4471,SO_1892,6.294047928,6.26503059,6.440351578,6.235417617,6.977638696,6.959640782,6.855258922,7.207320284
5178,7227,SO_1892,5.791979108,6.411512477,6.202737764,6.335950134,7.052229348,7.438532708,7.015764467,7.529187191
5179,4431,SO_1892,10.75410465,11.02212943,10.86727881,11.05670127,10.42462568,10.55155816,11.01526265,10.72443399
5180,14420,SO_1893,,,,,,,,
5181,10962,SO_1893,9.504757104,8.929351146,9.032820848,8.846959715,10.71330603,10.3904042,10.42308317,9.953423619
5182,9959,SO_1893,4.442949322,3.75823258,4.575544561,4.231227928,4.868826892,4.72281233,4.167425198,4.269133251
5183,44,SO_1894,6.26503059,6.288290964,6.194758584,6.259156423,5.468626905,5.436714468,5.474722796,5.205796683
5184,1306,SO_1894,8.453013716,8.375718632,8.38167851,8.582495179,8.154343905,8.108034787,8.130571015,8.318119487
5185,5357,SO_1894,6.452757476,7.087795236,6.869980416,6.855258922,8.887696879,8.860214317,8.491978677,9.033681336
5186,7887,SO_1895,9.37836279,9.412239223,9.173755422,9.238778115,10.62219493,10.87773953,10.205297,10.0388334
5187,5149,SO_1895,8.114556188,8.233769871,8.310045079,8.322069372,8.516562193,8.884170787,9.202047493,9.053162498
5188,4484,SO_1895,8.809064976,8.906421156,8.80231469,9.132580281,8.951102801,8.99373475,9.002551588,9.344504169
5189,11005,SO_1896,14.60602742,14.81804068,15.00849565,14.71945066,15.86512082,15.40140559,15.74530585,15.49458316
5190,4478,SO_1896,12.44692984,12.47380881,12.62579446,12.41998488,12.9584791,12.43325129,12.67417159,12.60814653
5191,4562,SO_1896,12.89259619,12.36008407,12.87170676,12.59536678,14.40476946,14.37796245,14.07290457,14.71945066
5192,10654,SO_1897,10.18623044,10.25033554,9.982770935,10.0879187,9.345336133,9.293831043,9.473135129,9.267006296
5193,111,SO_1897,11.23737809,10.73827709,10.88452835,11.20208561,11.30185345,11.04253582,11.1957375,11.70337645
5194,11677,SO_1897,12.13962132,11.27002156,11.58074441,11.81421948,13.15601888,13.13684598,14.25087898,13.55667445
5195,10005,SO_1898,10.50869242,11.62369581,11.23900181,10.999912,10.98870694,11.30967179,11.61357371,12.13329278
5196,1365,SO_1898,7.386402181,7.460712571,7.364956147,7.536005,6.296344297,6.331478395,6.084145878,6.266202559
