,GENE,GSM769226,GSM769227,GSM769228,GSM769229,GSM769230,GSM769231,GSM769232,GSM769233
7924,SO3589,,,-2.188849368,-0.030635301,-1.692628522,0.990175468,-2.561303795,-0.524376189
7925,SO3589,-2.496458282,-2.754200846,-4.859477065,1.823667362,-2.418770523,2.136659772,-0.874551014,-3.845071418
7926,SO3589F,-4.53651253,2.161846321,-0.608838186,2.074765508,,0.227421237,2.179484193,
7927,SO3589F,0.36010385,-0.895748199,-1.173482637,-2.042921188,0.087892931,-1.561879265,0.694589556,
7928,SO3590,-2.018426932,-1.795479334,-3.6813324,-3.64365415,-2.820576333,-1.145951565,-2.402274966,-0.96299467
7929,SO3590,-2.017565249,-2.105754245,-3.243662647,-2.280756386,-3.234539502,-2.514090895,-0.90256072,-1.377578372
7930,SO3590F,-0.50103423,-0.64033387,-0.376557096,1.866559607,-0.996772949,,-0.055922804,
7931,SO3590F,-1.506067221,-0.801926129,,-3.843299346,-2.664859067,-2.732875935,-3.886047804,2.750518971
7932,SO3591,-2.563763389,-2.923643666,-2.849934746,-2.058796852,-1.743073882,-2.38413293,-1.64058507,-5.061709652
7933,SO3591,-2.264905947,-3.3832745,,-4.158279774,-2.236619367,-1.648850119,-2.896295614,-3.348995593
7934,SO3592,-0.835948337,-1.410377314,-1.57330861,-1.775611561,-1.587935807,-2.13962698,-1.738478508,-0.999920009
7935,SO3592,-2.030762105,-1.553810505,-1.525586536,-0.95188438,-2.400408594,-1.331476406,-0.668822463,-0.954890194
7936,SO3593,-1.388321867,-2.879279242,-4.754219195,-1.360676248,-2.071427753,-0.948134714,-1.373579506,-0.773773313
