,GENE,GSM282000,GSM282001,GSM282002
5744,SO2609,-0.538645157,-0.484398431,-0.816913688
5745,SO2609,-0.425536017,-0.444105329,-0.611525013
5746,SO2609F,-0.187296293,0.215064717,-0.297694245
5747,SO2609F,-0.021489826,0.305563383,-0.389133132
5748,SO2610,0.815977878,0.688450533,0.374433963
5749,SO2610,0.772445641,0.212448597,0.174153434
5750,SO2611,0.168195338,0.110241908,-0.954780378
5751,SO2611,0.200561419,-0.175971411,-0.496152208
5752,SO2612,0.976338682,0.762053107,0.641250736
5753,SO2612,0.846760229,0.807075232,0.120743594
5754,SO2613,0.539917678,-0.151572966,-0.474947249
5755,SO2613,0.33652622,0.285339576,-0.389869292
5756,SO2614,0.268670546,0.299950069,-0.195058815
5757,SO2614,0.298821665,-0.250673089,0.193462152
5758,SO2615,0.428997599,0.451914916,0.010270573
5759,SO2615,0.283826616,0.684077227,-0.266417239
5760,SO2616,0.501362474,-0.241672182,-0.408282711
5761,SO2616,0.037639522,0.110805762,0.057718792
5762,SO2617,0.318161688,0.130532317,-0.968346659
5763,SO2617,0.049676895,0.087056912,-0.047434028
5764,SO2618,0.587090809,0.291895584,-0.223408622
5765,SO2618,0.322309371,0.302007197,-0.060389578
5766,SO2619,0.697150227,0.871920804,0.134654938
5767,SO2619,0.668533685,0.814811648,0.110329649
5768,SO2620,-0.155191677,0.478131872,-0.49931874
5769,SO2620,0.265958994,0.156583774,-0.560035547
5770,SO2621,-0.330218274,-0.083814417,-0.447264458
5771,SO2621,0.066742038,-0.224040331,-0.619788515
5772,SO2622,-0.598517002,-0.528260462,-0.702420149
5773,SO2622,-0.593327367,-0.542720293,-0.771057222
5774,SO2623,-0.181655252,0.23849718,-0.322675035
5775,SO2623,-0.105704573,0.119621999,-0.475372996
5776,SO2624,-0.078621316,0.12296798,-0.314601997
5777,SO2624,0.119080872,0.241492165,-0.177388002
5778,SO2625,0.523724334,0.672066484,0.423807687
5779,SO2625,0.448929282,0.756480031,0.455892882
5780,SO2626,-0.416999896,-0.327526582,-0.684286745
5781,SO2626,-0.354828348,-0.205121963,-0.497183032
5782,SO2627,-0.291853504,-0.1839149,-1.090485802
5783,SO2627,-0.325365865,-0.292378553,-0.613215481
5784,SO2628,-0.676591683,-0.15137788,-0.715563366
5785,SO2628,-0.321132007,-0.076568196,-0.559873445
5786,SO2629,0.735714934,0.549530359,0.429014884
5787,SO2629,0.435717425,0.501652439,-0.028066516
5788,SO2630,0.134460886,-0.241070769,-0.310127674
5789,SO2630,0.125304272,-0.089523793,-0.401598138
5790,SO2630F,-0.322189534,-0.695064311,-0.546351957
5791,SO2630F,-0.315502727,-0.185538935,-0.334399048
5792,SO2631,0.427452635,0.203026356,-0.518467261
5793,SO2631,0.320889629,-0.098159287,-0.218469819
5794,SO2632,0.100226475,0.234102346,-0.001599853
5795,SO2632,0.130389305,0.081706513,-0.46907218
5796,SO2633,0.088020407,0.281639434,0.123108429
5797,SO2633,0.343039754,0.38984819,0.038295585
5798,SO2634,0.403712567,0.268358972,0.177044077
5799,SO2634,0.402606556,0.658763999,-0.200060137
5800,SO2635,0.552117436,0.487972459,0.530510889
5801,SO2635,0.892121943,0.628386587,0.177670154
5802,SO2636,0.572115193,0.419206862,-0.212332303
5803,SO2636,0.386861748,0.422948092,0.177792152
5804,SO2637,0.545744896,0.477233615,0.113310576
5805,SO2637,0.968312115,0.333714983,0.051452476
5806,SO2638,-0.214415671,-0.190861277,-0.80723987
5807,SO2638,-0.132369811,-0.32526102,-0.417926082
5808,SO2639,-0.511387949,0.216190934,0.019828481
5809,SO2639,-0.030308973,0.283170265,-0.105136835
5810,SO2639F,0.268106647,0.161657493,-0.259539966
5811,SO2639F,0.360787519,0.225365222,-0.918854692
5812,SO2640,-0.190010458,0.020601324,-0.759474912
5813,SO2640,-0.309812303,-0.12855485,-0.443739077
5814,SO2641,0.259181756,0.286921895,-0.521513478
5815,SO2641,0.06610988,-0.091033382,-0.840906423
5816,SO2641F,-0.081829998,-0.387354084,-0.725392607
5817,SO2641F,-0.366668198,-0.152375157,-0.755577555
5818,SO2642,-0.358320929,-0.352377266,-0.629036857
5819,SO2642,-0.090064588,-0.15714373,-0.710307481
5820,SO2643,-0.271371111,-0.323811114,-0.326605868
5821,SO2643,-0.262154227,-1.007497663,-0.396027748
